geneID,Gene_name,gid
3983,ABLIM1,1110
22893,BAHD1,1111
1838,DTNB,1112
55734,ZFP64,1113
26150,RIBC2,1114
27288,RBMXL2,1115
6434,TRA2B,1116
18,ABAT,1117
7915,ALDH5A1,1118
8424,BBOX1,1119
8988,HSPB3,1120
1978,EIF4EBP1,1121
2475,MTOR,1122
10907,TXNL4A,1123
57560,IFT80,1124
5362,PLXNA2,1125
8100,IFT88,1126
6103,RPGR,1127
6668,SP2,1128
112,ADCY6,1129
2778,GNAS,1130
1139,CHRNA7,1131
5894,RAF1,1132
84634,KISS1R,1133
3814,KISS1,1134
55388,MCM10,1135
1026,CDKN1A,1136
4591,TRIM37,1137
151871,DPPA2,1138
990,CDC6,1139
8317,CDC7,1140
115106,HAUS1,1141
22981,NINL,1142
1029,CDKN2A,1143
55722,CEP72,1144
29911,HOOK2,1145
4176,MCM7,1146
4175,MCM6,1147
4172,MCM3,1148
4171,MCM2,1149
896,CCND3,1150
3866,KRT15,1151
23099,ZBTB43,1152
80321,CEP70,1153
1021,CDK6,1154
9688,NUP93,1155
23165,NUP205,1156
3588,IL10RB,1157
3587,IL10RA,1158
3586,IL10,1159
50616,IL22,1160
90226,UCN2,1161
114131,UCN3,1162
23192,ATG4B,1163
11345,GABARAPL2,1164
81631,MAP1LC3B,1165
11337,GABARAP,1166
115201,ATG4A,1167
401,PHOX2A,1168
1388,ATF6B,1169
9464,HAND2,1170
7379,UPK2,1171
11045,UPK1A,1172
6402,SELL,1173
1401,CRP,1174
3078,CFHR1,1175
3426,CFI,1176
5806,PTX3,1177
1758,DMP1,1178
133,ADM,1179
4860,PNP,1180
83988,NCALD,1181
64216,TFB2M,1182
11244,ZHX1,1183
333,APLP1,1184
7019,TFAM,1185
9497,SLC4A7,1186
7529,YWHAB,1187
8671,SLC4A4,1188
1080,CFTR,1189
629,CFB,1190
5199,CFP,1191
721,C4B,1192
5411,PNN,1193
51538,ZCCHC17,1194
10921,RNPS1,1195
1258,CNGB1,1196
23524,SRRM2,1197
8899,PRPF4B,1198
3875,KRT18,1199
1781,DYNC1I2,1200
9360,PPIG,1201
1487,CTBP1,1202
1488,CTBP2,1203
3856,KRT8,1204
3880,KRT19,1205
8992,ATP6V0E1,1206
529,ATP6V1E1,1207
57817,HAMP,1208
30061,SLC40A1,1209
51804,SIX4,1210
2140,EYA3,1211
2139,EYA2,1212
147912,SIX5,1213
3146,HMGB1,1214
4990,SIX6,1215
6495,SIX1,1216
2070,EYA4,1217
2138,EYA1,1218
10736,SIX2,1219
6496,SIX3,1220
7090,TLE3,1221
8013,NR4A3,1222
5080,PAX6,1223
51053,GMNN,1224
245812,CNPY4,1225
7099,TLR4,1226
10330,CNPY2,1227
22877,MLXIP,1228
29116,MYLIP,1229
8867,SYNJ1,1230
273,AMPH,1231
23360,FNBP4,1232
6453,ITSN1,1233
29993,PACSIN1,1234
51100,SH3GLB1,1235
23616,SH3BP1,1236
29763,PACSIN3,1237
1020,CDK5,1238
5530,PPP3CA,1239
8470,SORBS2,1240
6455,SH3GL1,1241
30011,SH3KBP1,1242
6457,SH3GL3,1243
10179,RBM7,1244
3241,HPCAL1,1245
55110,MAGOHB,1246
