GeneID1,GeneID2,weight
10617,2885,1.0
10617,658,1.0
10617,9402,1.0
10617,5607,1.0
10617,9400,1.0
10617,8027,1.0
10617,211,1.0
10617,56259,1.0
10617,55075,1.0
10617,81693,1.0
7322,26994,1.0
7322,4734,1.0
7322,8945,1.0
7322,867,1.0
7322,4792,1.0
7322,267,1.0
7322,6048,1.0
7322,151636,1.0
7322,9867,1.0
7322,64219,1.0
7322,4850,1.0
8078,26994,1.0
8078,10474,1.0
8078,1856,1.0
2074,26994,1.0
2074,5430,1.0
2074,7157,1.0
2074,7507,1.0
2074,2961,1.0
2074,56949,1.0
2074,142,1.0
2074,11200,1.0
2074,2073,1.0
2074,1161,1.0
7321,10273,1.0
7321,26994,1.0
7321,7337,1.0
7321,4194,1.0
7321,6477,1.0
7321,22888,1.0
7321,151636,1.0
7321,56658,1.0
7321,55658,1.0
8737,26994,1.0
8737,83737,1.0
8737,8517,1.0
8737,8887,1.0
8737,7128,1.0
8737,7187,1.0
8737,5747,1.0
8737,8878,1.0
8737,7186,1.0
8737,841,1.0
8737,1956,1.0
8737,3320,1.0
8737,355,1.0
8737,8772,1.0
8737,7132,1.0
8737,4215,1.0
8737,7185,1.0
8737,9020,1.0
8737,7763,1.0
8737,4790,1.0
8737,8797,1.0
8737,26133,1.0
8737,8837,1.0
8737,54476,1.0
8737,11035,1.0
8737,148022,1.0
8737,7188,1.0
8737,8717,1.0
8737,152137,1.0
8737,8795,1.0
8737,10475,1.0
8737,8738,1.0
8737,1326,1.0
9372,26994,1.0
9372,1499,1.0
9372,4088,1.0
9372,5518,1.0
9372,4087,1.0
9372,5371,1.0
9372,2274,1.0
9372,7046,1.0
9372,652,1.0
9372,79987,1.0
9372,7048,1.0
9372,3728,1.0
9372,5500,1.0
9372,5499,1.0
9372,9802,1.0
9372,2114,1.0
9372,5501,1.0
9372,84181,1.0
9372,23613,1.0
9372,6829,1.0
9372,91544,1.0
9372,55681,1.0
9372,4817,1.0
9372,1981,1.0
9372,5930,1.0
9372,29967,1.0
9372,25870,1.0
9372,6051,1.0
9372,9631,1.0
9372,89941,1.0
8517,26994,1.0
8517,8737,1.0
8517,7128,1.0
8517,7314,1.0
8517,6714,1.0
8517,1387,1.0
8517,3303,1.0
8517,3308,1.0
8517,3654,1.0
8517,8767,1.0
8517,841,1.0
8517,2932,1.0
8517,8533,1.0
8517,3320,1.0
8517,84433,1.0
8517,10928,1.0
8517,4792,1.0
8517,7283,1.0
8517,4791,1.0
8517,8772,1.0
8517,1147,1.0
8517,7132,1.0
8517,3551,1.0
8517,5588,1.0
8517,3326,1.0
8517,11140,1.0
8517,9020,1.0
8517,7763,1.0
8517,4790,1.0
8517,8202,1.0
8517,26133,1.0
8517,329,1.0
8517,7323,1.0
8517,29110,1.0
8517,1540,1.0
8517,200081,1.0
8517,9230,1.0
8517,10010,1.0
8517,8915,1.0
8517,4793,1.0
8517,10758,1.0
8517,5495,1.0
8517,22900,1.0
8517,79155,1.0
8517,29775,1.0
10422,26994,1.0
10422,63891,1.0
10422,9802,1.0
10422,11052,1.0
10422,7805,1.0
4646,26994,1.0
4646,58,1.0
4646,1601,1.0
4646,1739,1.0
4646,10755,1.0
4646,805,1.0
4646,5063,1.0
11201,26994,1.0
11201,10241,1.0
11201,7311,1.0
11201,7314,1.0
11201,5111,1.0
11201,1856,1.0
11201,9802,1.0
11201,5429,1.0
11201,51455,1.0
133957,26994,1.0
2060,26994,1.0
2060,4734,1.0
2060,10617,1.0
2060,29924,1.0
2060,22905,1.0
2060,7314,1.0
2060,10254,1.0
2060,1759,1.0
2060,160,1.0
2060,29979,1.0
2060,161,1.0
2060,9146,1.0
2060,1956,1.0
2060,8867,1.0
2060,6453,1.0
2060,8650,1.0
2060,9253,1.0
2060,1398,1.0
2060,1785,1.0
2060,51172,1.0
2060,9892,1.0
2060,9185,1.0
2060,85439,1.0
2060,3268,1.0
2060,3267,1.0
2060,7805,1.0
2060,1999,1.0
64750,26994,1.0
64750,6625,1.0
64750,6233,1.0
64750,6498,1.0
64750,54778,1.0
64750,4092,1.0
64750,4091,1.0
64750,4088,1.0
64750,821,1.0
64750,4086,1.0
64750,4087,1.0
64750,7046,1.0
64750,9070,1.0
64750,23551,1.0
64750,10783,1.0
64750,4090,1.0
64750,29984,1.0
64750,22800,1.0
64750,51285,1.0
64750,5872,1.0
64750,4893,1.0
64750,57111,1.0
64750,29068,1.0
64750,5901,1.0
64750,3622,1.0
64750,1601,1.0
64750,864,1.0
64750,7186,1.0
64750,5481,1.0
64750,10628,1.0
64750,394,1.0
64750,9802,1.0
64750,283629,1.0
64750,51552,1.0
64750,5908,1.0
64750,9618,1.0
64750,404093,1.0
64750,3661,1.0
64750,8310,1.0
64750,2288,1.0
64750,2317,1.0
