diseaseID,GeneID,score
C0002395,793,0.7647874
C0002395,794,0.48592845
C0002395,796,-0.09363888
C0002395,799,-0.8978921
C0002395,800,0.5901114
C0002395,801,-0.23191151
C0002395,805,-1.2342689
C0002395,808,0.121809326
C0002395,810,-0.48571986
C0002395,811,-0.1625368
C0002395,813,0.12853147
C0002395,814,1.079451
C0002395,815,1.2733502
C0002395,816,0.96177506
C0002395,817,0.89907074
C0002395,818,0.18936284
C0002395,164656,-0.28710502
C0002395,820,-0.2598744
C0002395,821,0.5444624
C0002395,822,1.0306847
C0002395,823,0.7006484
C0002395,824,0.6444795
C0002395,825,0.2775396
C0002395,826,0.079866245
C0002395,819,-0.15835801
C0002395,829,0.48100877
C0002395,830,-0.5270582
C0002395,831,0.6357664
C0002395,832,0.42648336
C0002395,834,-0.06698084
C0002395,835,0.6811042
C0002395,836,-0.08665794
C0002395,837,0.85504425
C0002395,838,-0.78329456
C0002395,839,-0.124570675
C0002395,840,0.75071806
C0002395,841,-0.6537384
C0002395,842,-0.85955554
C0002395,843,0.7038034
C0002395,845,0.72860754
C0002395,846,-0.035970286
C0002395,847,-0.5393145
C0002395,857,-0.17924242
C0002395,858,0.83807296
C0002395,859,1.1914015
C0002395,860,-0.20773277
C0002395,861,-0.43175077
C0002395,862,0.3418005
C0002395,863,0.37067026
C0002395,864,-0.02679409
C0002395,865,0.70429957
C0002395,867,1.0647843
C0002395,868,0.83771515
C0002395,869,-0.78637373
C0002395,871,0.60533285
C0002395,873,0.21125364
C0002395,874,-1.7622508
C0002395,875,-0.27257794
C0002395,881,-1.3279068
C0002395,885,-0.86162204
C0002395,886,1.2805269
C0002395,887,0.81667376
C0002395,889,0.23803322
C0002395,890,0.22677457
C0002395,891,0.41674593
C0002395,892,-0.8585125
C0002395,894,-0.2063961
C0002395,896,0.55841607
C0002395,898,0.06078583
C0002395,899,0.8228998
C0002395,900,0.6506848
C0002395,901,-0.12822638
C0002395,902,0.924106
C0002395,904,-0.35745966
C0002395,905,-0.3953217
C0002395,908,0.22350451
C0002395,909,-0.14438722
C0002395,910,-0.10238827
C0002395,912,-0.22264011
C0002395,913,-0.03700366
C0002395,914,0.39775798
C0002395,915,0.7069198
C0002395,916,0.48268008
C0002395,917,-0.07653537
C0002395,919,0.2865119
C0002395,920,0.7086679
C0002395,921,0.57269096
C0002395,922,-0.2353046
